,question,ground_truth,answer
10,What was the central issue in the appeals regarding the interpretation of Section 24B of the Income Tax Act?,"The central issue in the appeals was the interpretation of Section 24B of the Income Tax Act concerning the taxability of income received by the heirs and legal representatives of a deceased person. Specifically, the question was whether the income received by the heirs and legal representatives after the death of Amarchand N. Shroff could be deemed as income that would have been taxable if Amarchand had been alive. The Commissioner of Income Tax argued that under Section 24B, such income should be treated as if it were received by the deceased and therefore liable to tax. However, the High Court and subsequent judgments held that Section 24B did not extend to income received in the years succeeding the year in which the deceased person died.","The central issue in the appeals regarding the interpretation of Section 24B of the Income Tax Act was whether the appellant, who claimed relief under section 25(4) based on the transfer of its business to a limited company, was entitled to such relief. The question revolved around the timing and validity of the transfer, specifically whether the transfer took place on November 13, 1947, February 13, 1948, or on February 7, 1948. The Income Tax Officer, the Appellate Assistant Commissioner, and the Income Tax Appellate Tribunal had all rejected the appellant's claim, leading to the appeals and the subsequent referral of the question to the High Court for determination."
11,What was the outcome of the appeals concerning the taxability of the income received by Amarchand N. Shroff’s heirs after his death?,"The outcome of the appeals was that the income received by Amarchand N. Shroff’s heirs after his death was not taxable under Section 24B of the Income Tax Act. The High Court concluded that Section 24B did not apply to income received after the death of the individual but was limited to income received during the previous year in which the deceased had died. Therefore, the appeals were dismissed, and it was ruled that the amounts received after Amarchand's death could not be deemed as taxable income in his hands or in the hands of his legal representatives.","The outcome of the appeals concerning the taxability of the income received by Amarchand N. Shroff's heirs after his death was that the High Court answered the question in the negative. The court held that apart from section 24E of the Income tax Act, the amounts were not taxable and that the section had no application to the case. The Appellate Tribunal also agreed that the amounts were not the income of the Hindu undivided family but merely represented inheritance or realizations of the assets of Amarchand. The Revenue did not pursue the matter further, but later proceedings were started by the Income tax Officer under section 34 in respect of the same income in the hands of ""Amarchand N. Shroff by his heirs and legal representatives."""
12,"What was the main issue that the Supreme Court needed to decide in Appeal No. 251 of 1963 regarding the definition of ""wages"" under section 2(vi) of the Act?","The main issue was whether the term ""wages"" as defined by section 2(vi) of the Act included wages fixed by an industrial award before the amendment of the definition in 1958. Specifically, the Court needed to determine if wages prescribed by an industrial tribunal's award were considered part of the definition of ""wages"" under the unamended section 2(vi) of the Act.","The main issue that the Supreme Court needed to decide in Appeal No. 251 of 1963 was whether the term ""wages"" as defined by section 2(vi) of the Act includes wages fixed by an award in an industrial dispute between the employer and his employees. The question revolved around interpreting the definition of ""wages"" as provided in section 2(vi) before it was amended in 1958, and determining whether remuneration payable under any award or settlement between the parties or order of a Court should be included in the main definition under section 2(vi). The appellant argued that in order for the wages prescribed by the award to fall under section 2(vi), it must be shown that they constitute part of the terms of the contract of employment, either express or implied."
13,"How did the Supreme Court interpret the impact of an industrial award on the definition of ""wages"" before and after the 1958 amendment to section 2(vi) of the Act?","The Supreme Court interpreted that the wages prescribed by an industrial award were included within the definition of ""wages"" under section 2(vi) of the Act even before the 1958 amendment. The Court held that the unamended definition of wages could encompass remuneration fixed by an industrial award, as industrial adjudication effectively alters the terms of employment to include such wages. The 1958 amendment was seen as a clarification rather than a change, affirming that the definition of wages already covered wages set by awards.","The Supreme Court interpreted that industrial awards supplant contractual terms in respect of matters covered by them and are substituted for them. Before the 1958 amendment to section 2(vi) of the Act, the Court found it difficult to argue that the wages prescribed by the award could not be treated as wages under the Act. However, after the 1958 amendment, it was clarified that any remuneration payable under any award or settlement between the parties or order of a Court would be included in the definition of ""wages"" under section 2(vi)."
14,"What was the dispute in Appeal No. 513 of 1963 regarding the age of retirement for employees, and how did the Supreme Court resolve it?","The dispute was about whether the age of compulsory retirement for employees of Shaw Wallace & Co. should be fixed at 58 or 60 years. The company had been retiring employees at 55 but extended the retirement age to 58 for Calcutta employees in an agreement, while the Bombay employees sought to have the retirement age fixed at 60. The Maharashtra Industrial Tribunal had initially directed that the retirement age should be 58, with discretion to extend it beyond 58. The Supreme Court resolved the issue by setting the retirement age at 60, based on the trend in the Bombay region and broader industry practice, as well as evidence from previous decisions and reports.","The dispute in Appeal No. 513 of 1963 was regarding the age of retirement for employees belonging to Class III and Class IV who entered the service of the Corporation on or after 1st September, 1956. These employees demanded that their age of retirement should be fixed at 60 years, similar to Class III and Class IV employees who were transferred from the service of the erstwhile insurers. The dispute ultimately ended in a settlement which was incorporated in the Memorandum of Settlement dated 29th January, 1965. The settlement stated that the age of retirement for Class III and Class IV employees who entered the service of the Corporation on or after 1st September, 1956 would be fixed at 60 years. The Supreme Court resolved the dispute by upholding the settlement and confirming the age of retirement for these employees at 60 years."
15,How did the Supreme Court justify its decision to fix the retirement age at 60 despite the Tribunal's initial decision?,"The Supreme Court justified its decision by emphasizing the consistent trend in the Bombay region to set the retirement age at 60, supported by evidence from various documents and previous judicial pronouncements. The Court noted that the Tribunal's findings did not convincingly disprove this trend and that the Tribunal had not provided sufficient reasons to challenge the established judicial opinion on the matter. Additionally, the Court considered reports from Committees and Commissions, which also recommended a retirement age of 60, reinforcing the Court's decision to modify the Tribunal's award.","The Supreme Court justified its decision to fix the retirement age at 60 by taking into account the trend in recent times in various concerns in the Bombay region. The Court noted that the Tribunal had found that in all the awards in recent times, the trend had been to fix the age of retirement at 60 years. This finding was a significant factor in the Court's decision not to disturb the award fixing the retirement age at 60 years. The correctness of the Tribunal's finding regarding the trend in retirement age in the Bombay region was not challenged before the Court, and the respondent company's attempt to show otherwise was based on information received from member concerns of the Bombay Chamber of Commerce, which was not considered sufficient to overturn the established trend."
16,What was the primary issue being addressed in this appeal?,"The primary issue was whether the sum of Rs. 36,396 received by the assessee as an allowance during the previous year of the assessment year 1949-50 was considered revenue income liable to tax under the Indian Income Tax Act, 1922, or whether it was exempt from tax as agricultural income.",The primary issue being addressed in this appeal was whether the learned trial judge's decision on the facts was erroneous and so manifestly erroneous that an appellate court ought to set it aside.
17,What was the Court's conclusion regarding the nature of the allowance received by the assessee?,"The Court concluded that the allowance received by the assessee was revenue income and not exempt from taxation as agricultural income. The Court held that the source of the allowance was the arrangement made in 1837 and not land or land revenue, and thus, the income was taxable under the Act.","The Court concluded that the allowance received by the assessee was not incurred in the course of the money lending business, nor in respect of any other business of the assessee. The monies sent by the assessee to the Bombay firm were determined not to be loans made in the ordinary course of its money lending business. This finding led to the Court's decision to reject the appeal and dismiss it in favor of the Department."
18,"What was the main issue in the appeals concerning the election to the West Bengal Legislative Assembly, and how did the court interpret the term ""Saha"" in relation to the Scheduled Caste specification?","The main issue in the appeals was whether Abhoy Pada Saha, who had been elected to the West Bengal Legislative Assembly, was validly elected given the contestation over his caste status. Sudhir Kumar Mondal challenged the election on the grounds that Abhoy Pada Saha did not belong to a Scheduled Caste. Specifically, the term ""Saha"" in the Scheduled Castes specification was critical. The court had to determine whether ""Saha"" referred to a separate caste group within the Sunri caste or a sub-caste that was excluded from the Scheduled Caste status. The court ultimately interpreted ""Saha"" as referring to a caste group distinct from the Sunri caste, not merely a surname or sub-caste. Thus, ""Saha"" was seen as a separate caste group excluded from the Scheduled Caste list, leading to the conclusion that Abhoy Pada Saha was a Sunri by caste and should be considered part of the Scheduled Caste under the specification.","The main issue in the appeals concerning the election to the West Bengal Legislative Assembly was whether the appellant, Abhoy Pada Saha, belonged to the Scheduled Caste specified in item 40. The court interpreted the term ""Saha"" in relation to the Scheduled Caste specification by considering it as a smaller caste group within the bigger caste group of Sunirs. The court reasoned that the appellant claimed to be a member of the Saha caste, which was a smaller caste group within the Sunris and, therefore, did not belong to the Scheduled Caste specified in item 40. The Election Tribunal, as well as the High Court, accepted this interpretation of the term ""Saha"" in relation to the Scheduled Caste specification."
19,"Why did the Supreme Court ultimately decide to allow Appeal No. 931 of 1965 and dismiss Appeal No. 1149 of 1965, and what were the findings regarding the appellant's caste status?","The Supreme Court allowed Appeal No. 931 of 1965 and dismissed Appeal No. 1149 of 1965 because it found that the appellant, Abhoy Pada Saha, was correctly classified as belonging to the Scheduled Caste specified in item 40 of the President's Order. The court concluded that the term ""Saha"" in item 40 referred to a smaller caste group within the Sunri caste and not a distinct or separate caste. The evidence presented did not establish that Saha was an independent caste, and it was not proven that Abhoy Pada belonged to a different caste group than the Sunri. Therefore, the Supreme Court restored the Election Tribunal's decision, dismissing the petition challenging the validity of the election. The dismissal of Appeal No. 1149 followed because Sudhir Kumar Mondal's request to be declared elected in place of Abhoy Pada Saha was not upheld.","The Supreme Court ultimately decided to allow Appeal No. 931 of 1965 and dismiss Appeal No. 1149 of 1965 because Abhoy Pada Saha, the appellant in Appeal No. 931 of 1965, was found to have falsely described himself as a member of the Sunri caste which is a Scheduled Caste on the nomination paper. Sudhir Kumar Mondal, the respondent in Appeal No. 931 of 1965, was admittedly a member of a Scheduled Caste. Therefore, the Court found that Abhoy Pada Saha's false claim regarding his caste status was misleading and invalid, leading to the dismissal of his appeal. Sudhir Kumar Mondal's status as a member of a Scheduled Caste was upheld, resulting in the allowance of his appeal."
20,What was the primary reason the High Court dismissed the petition filed by the appellants regarding the election process in Raipur?,"The High Court dismissed the petition because the appellants did not provide a satisfactory explanation for the delay in filing the petition. The Court found that the petitioners were aware of the defect in the notice as early as October 1978 but waited until December 28, 1978, just three days before the scheduled poll, to file their petition. This delay led the High Court to exercise its discretion to reject the petition due to the inordinate delay, which would lead to public inconvenience and interfere with the rights of others.","The High Court dismissed the petition filed by the appellants regarding the election process in Raipur because the petition was heard and it was dismissed by a Division Bench of the High Court on January 20, 1979."
21,"What was the defect in the notice issued under Rule 4(1) of the Madhya Pradesh Municipal Corporation Rules, 1963, and how did it affect the election process?","The defect in the notice issued under Rule 4(1) was that it incorrectly stated that claims and objections to the electoral roll should be preferred within a period of 20 days from the date of the publication of the notice, instead of the prescribed 30 days as per Rule 4(3). This incorrect shorter period allegedly prevented a large number of people from filing claims and objections within the correct timeframe, potentially vitiating the entire election process. However, the Court found that the petitioners did not take timely action to correct this defect, which contributed to the dismissal of their petition.","The defect in the notice issued under Rule 4(1) of the Madhya Pradesh Municipal Corporation Rules, 1963 was not specifically mentioned in the context. However, it can be inferred that the defect may have been related to the irregularity in the division of Raipur town into different wards for purposes of election. This defect may have affected the election process by potentially causing confusion or unfairness in the distribution of voters across the different wards, thereby impacting the outcome of the election."
22,What were the main grounds of detention mentioned in the order against Lawrence Joachim Joseph DeSouza by the Government of Bombay?,"The grounds of detention against Lawrence Joachim Joseph DeSouza included:

He was carrying on espionage on behalf of the Portuguese Government with financial help from the Portuguese authorities, assisted by underground workers.
He was collecting intelligence about the security arrangements on the border area and making such intelligence available to the Portuguese authorities.
These activities were aimed at causing further deterioration in the relations between the Portuguese Government and the Indian Government over the Goan National Movement, which were considered prejudicial to the security of India and to India's relations with Portugal.","The main grounds of detention mentioned in the order against Lawrence Joachim Joseph DeSouza by the Government of Bombay were:
- Carrying out espionage on behalf of the Portuguese Government with the financial help given by the Portuguese authorities.
- Collecting intelligence about security arrangements on the border area.
- Making intelligence available to the Portuguese authorities."
23,"What were the primary contentions raised by the appellant, Lawrence Joachim Joseph DeSouza, against his detention order?","Lawrence Joachim Joseph DeSouza raised the following primary contentions against his detention order:

The detention order was mala fide, passed with the ulterior motive of preventing his freedom of speech and professional activities concerning Goan affairs.
The detaining authority failed to apply its mind to the legitimate objects of detention.
The grounds of detention were vague.
The state's claim that no particulars of the grounds could be furnished in the public interest was unsustainable and mala fide.
These contentions were presented to argue that the detention order was not made in good faith and lacked proper justification.","The primary contentions raised by the appellant, Lawrence Joachim Joseph DeSouza, against his detention order were:
1. The order of detention was made without any real application of mind by the detaining authority.
2. The authority acted merely at the instance of the police who were in league with the Goan Action Committee.
3. The police procured the detention order for the purpose of suppressing the freedom of the appellant, to ventilate his point of view on Goan politics, and to take up professionally the cause of persons in the position of Carlos."
24,What was the primary issue in the appeal against the judgment of the Allahabad High Court?,The primary issue in the appeal was whether the Amauli properties acquired by Mahant Shivshankar Yati were personal properties or whether they belonged to the Math Sauna or the deity Sri Thakur Gokarneshwar Mahadeo Ji.,The primary issue in the appeal against the judgment of the Allahabad High Court was whether the High Court was correct in upholding the decision of the Uttar Pradesh Public Service Commission to re-hold the recruitment examination.
25,"What did the High Court conclude regarding the ownership of the Amauli properties, and how did this conclusion impact the appeal?","The High Court concluded that the Amauli properties were personal properties of Mahant Shivshankar Yati, not belonging to the Math Sauna or the deity. This conclusion was based on the finding that the fund used to purchase the Amauli properties was the personal property of Mahant Shivpher Yati, which devolved to Shivshankar Yati. Consequently, the appeal was dismissed, affirming that the Amauli properties did not form part of the Math Sauna's or deity's properties.","The High Court concluded that the Amauli properties were purchased by Shivshanker Yati in 1921 from his personal and separate funds inherited from his predecessor, Shivpher Yati. Therefore, the Amauli properties were regarded as his personal and separate properties and did not belong to the Math or the deity. This conclusion impacted the appeal as it led to the dismissal of the appeal, with the High Court stating that the Amauli properties constituted the personal property of Uma Shankar Yati and did not form part of the properties of the Math Sauna or the deity, Sri Thakur, Gokarneshwar Mahadeoji."
26,What were the primary grounds for the acquittal of Prakash (accused 5) in the appeals heard by the Supreme Court?,"Prakash (accused 5) was acquitted primarily because his conviction for conspiracy under section 302 read with section 120B I.P.C. was deemed unsustainable. The Supreme Court found a technical flaw in the conviction of a single accused for conspiracy, as at least two persons are required for an offence of conspiracy under section 120A I.P.C. Additionally, since accused 5 was not a party to the specific charge related to the murder of Malan (charge No. 4), and there were no appeals filed against the acquittal of accused 1 and 6 for conspiracy, his conviction could not be upheld.","The primary grounds for the acquittal of Prakash (accused 5) in the appeals heard by the Supreme Court were insufficient evidence against him proving his guilt in respect of the charge framed regarding the murder of Malan beyond all reasonable doubt. The court found that there was not enough evidence to convict Prakash and therefore acquitted him, setting aside his conviction and the sentence awarded to him."
27,What evidence led to the confirmation of Vinayak's (accused 6) conviction for the murder of Malan?,"Vinayak's (accused 6) conviction was confirmed based on several pieces of evidence:

Recovery of a Razor Blade: A razor blade stained with blood of group B, matching that of the victim Malan, was recovered following a confessional statement by accused 6.
Medical Evidence: The autopsy of Malan revealed multiple incised wounds and injuries consistent with sharp cutting weapons, supporting the claim of a violent murder.
Confession and Witness Testimony: The approver P.W. 1’s testimony and the retracted judicial confession of accused 6, corroborated by the recovered razor blade and medical evidence, proved beyond reasonable doubt that accused 6 was involved in the murder of Malan.","The evidence that led to the confirmation of Vinayak's (accused 6) conviction for the murder of Malan included the recovery of a razor blade stained with human blood of group B, which matched that of Malan. This razor blade was found based on Vinayak's confessional statement admitted under section 27 of the Evidence Act. Additionally, a blood-stained shirt of accused 6 was recovered from his house. There was also evidence indicating Vinayak's presence near the scene of the crime before and after the murder, as witnessed by Shivram and Abasaheb. Finally, there was a retracted judicial confession by accused 6 that further incriminated him in the murder of Malan."
28,"Why was the appellant, who was promoted to the post of Head Clerk on an ad hoc basis in January 1974 and appointed to the post on April 1, 1975, absorbed as a clerk instead of a Head Clerk?","The appellant was absorbed as a clerk instead of a Head Clerk because the Panchayat Samiti, which promoted him, lost its power to make appointments after June 13, 1973, due to the deletion of section 33 of the Punjab Panchayat Samitis and Zilla Parishads Act, 1961 by the Amending Act of 1973. The Panchayat Samiti no longer had the authority to appoint him to the Head Clerk position after this date. Therefore, despite his promotion, the Government was not obligated to absorb him as a Head Clerk, and he was lawfully absorbed in the post of a Clerk.","The appellant was absorbed as a clerk instead of a Head Clerk because his appointment as a Head Clerk prior to his absorption in Government service was not recognized and protected. The Panchayat Samiti did not have the right to appoint him to the post of Head Clerk on the date on which it purported to do so, as this right was fortified on June 13, 1973. Therefore, the appellant's appointment as a Head Clerk in January 1974 on an ad hoc basis and in April 1975 on a regular basis was without the authority of law. As a result, the Government was not bound to absorb him in the post of a Head Clerk and instead lawfully absorbed him in the post of a Clerk."
29,What did the Court decide regarding the appellant's claim to be absorbed as a Head Clerk?,"The Court decided that the appellant's claim to be absorbed as a Head Clerk was without merit. Since the Panchayat Samiti's power to make appointments was revoked on June 13, 1973, any appointments to the Head Clerk position made after this date were unauthorized. Therefore, the appellant's promotion to Head Clerk after this date did not entitle him to be absorbed in that position. The Court upheld the absorption of the appellant as a Clerk, in accordance with the terms of his original employment.","The Court decided that the appellant's claim to be absorbed as a Head Clerk was not valid. The Court stated that the appellant was appointed lawfully to the post of a Clerk, and that is the post in which the Government has absorbed him. The appointment of the appellant to the post of a Head Clerk was deemed to be without the authority of law, so the Government was not bound to absorb him in that position. The appeal was dismissed, and there was no order as to costs."
30,"Why did the Andhra Pradesh High Court strike down Section 28 of the Gold Control Act, 1968?","The Andhra Pradesh High Court struck down Section 28 of the Gold Control Act, 1968 on the grounds that it suffered from excessive delegation of legislative power. The Court found that Section 28 conferred an arbitrary and uncanalised power upon the Administrator by not providing any criteria or guidelines for exercising discretion. This, according to the High Court, left licensed dealers at the mercy of the Administrator when seeking permission to carry on money lending or banking business on the security of gold articles, leading to potential arbitrary decisions. The High Court's reasoning was that the lack of explicit rules or criteria and the absence of a requirement for the Administrator to provide reasons for decisions rendered the section unconstitutional.","The Andhra Pradesh High Court struck down Section 28 of the Gold Control Act, 1968 because the challenge to the validity of this particular section by the Union of India was successful."
31,"On what grounds did the Supreme Court uphold the validity of Section 28 of the Gold Control Act, 1968?","The Supreme Court upheld the validity of Section 28 of the Gold Control Act, 1968 by rejecting the High Court’s reasoning of excessive delegation of power. The Supreme Court noted that although Section 28 did not specify express rules or guidelines, the overall scheme and objectives of the Gold Control Act provided sufficient guidance to the Administrator. The Court emphasized that the restrictions imposed by Section 28 were meant to prevent the circumvention of other provisions of the Act and that the Administrator's discretion was to be exercised within the framework of the Act’s objectives. Furthermore, the Supreme Court pointed out that the Administrator’s decisions were subject to revision by the Central Government, ensuring accountability. Thus, Section 28 was not deemed to confer arbitrary or uncanalised power.","The Supreme Court upheld the validity of Section 28 of the Gold Control Act, 1968 on the grounds that it is part of the entire scheme of Gold Control as envisaged by the Act. The Court stated that the object of the enactment and the scheme provide sufficient guidance to the Administrator in the matter of exercising his discretion under that section. The main object of putting the Act on the Statute Book, as indicated by its long title, is ""to provide, in the economic and financial interests of the community, for the control of the production, manufacture, supply, distribution, use and possession of, and business in, gold ornaments and articles of gold and for matters connected therewith or incidental thereto."""
32,What is the main legal issue addressed in Special Leave Petition (CRL.) No. 1765 of 1987?,"The main legal issue addressed in Special Leave Petition (CRL.) No. 1765 of 1987 revolves around the interpretation of section 630 of the Companies Act, specifically the scope and effect of sub-section (1) of this section. The controversy concerns the meaning of the terms ""officer or employee"" and ""any such property"" within this section, and whether these terms include both current and past officers and employees of a company. The case discusses conflicting interpretations by the High Courts of Calcutta and Bombay.","The main legal issue addressed in Special Leave Petition (CRL.) No. 1765 of 1987 is related to the provision contained in sub-section 11 A of the Land Acquisition Act. This provision, along with the stay orders obtained by the petitioners, was considered highly material in the determination of the Special Leave Petitions. The fact that there was no reference to the stay orders in the Special Leave Petitions, and that the respondents only became aware of these orders when they appeared in response to the notice and filed their counter affidavit, was noted as a curious point."
33,What was the outcome of the special leave petition and which court's interpretation was favored?,"The outcome of the special leave petition was that it was dismissed, and the interpretation favored was that of the Bombay High Court. The court upheld that the term ""officer or employee"" in section 630(1) includes both current and past officers and employees of a company. This interpretation supports a broad and liberal construction of the provision to further the object and purpose of the legislation, contrasting with the narrow interpretation by the Calcutta High Court which limited it to only current officers and employees.","The outcome of the special leave petition was in favor of the petitioners, as they obtained an interim stay of dispossession. The interpretation favored was that of the High Court of Bombay, as it had been the consistent view taken in a series of cases."
